datetime	laboratory:daune:sbe37_bsh_6966:temperature_0001 [°C]	laboratory:daune:sbe37_bsh_6966:conductivity_0001 [S/m]	laboratory:daune:sbe37_bsh_6966:pressure_0001 [m]	laboratory:daune:sbe37_bsh_6966:salinity_0001 [PSU]
2020-09-19T00:25:28.000	17.7127	4.29963	9.433	32.7597
2020-09-19T00:25:38.000	17.7135	4.29971	9.42	32.7597
2020-09-19T00:25:48.000	17.7131	4.29968	9.406	32.7598
2020-09-19T00:25:58.000	17.7114	4.29923	9.435	32.7574
2020-09-19T00:26:08.000	17.7104	4.29935	9.422	32.7591
2020-09-19T00:26:18.000	17.7105	4.29945	9.432	32.7599
2020-09-19T00:26:28.000	17.7109	4.29943	9.399	32.7595
2020-09-19T00:26:38.000	17.7095	4.29908	9.411	32.7576
2020-09-19T00:26:48.000	17.7105	4.29924	9.434	32.7581
2020-09-19T00:26:58.000	17.7115	4.29933	9.409	32.7581
2020-09-19T00:27:08.000	17.7118	4.29935	9.423	32.758
2020-09-19T00:27:18.000	17.711	4.29932	9.436	32.7584
2020-09-19T00:27:28.000	17.7095	4.2992	9.421	32.7586
2020-09-19T00:27:38.000	17.7069	4.29893	9.416	32.7584
2020-09-19T00:27:48.000	17.7101	4.29915	9.39	32.7577
2020-09-19T00:27:58.000	17.7104	4.29925	9.419	32.7583
2020-09-19T00:28:08.000	17.7085	4.29903	9.421	32.758
2020-09-19T00:28:18.000	17.7088	4.29912	9.431	32.7585
2020-09-19T00:28:28.000	17.7089	4.299	9.385	32.7574
2020-09-19T00:28:38.000	17.7071	4.29897	9.407	32.7586
2020-09-19T00:28:48.000	17.7054	4.29872	9.42	32.7579
2020-09-19T00:28:58.000	17.7056	4.29869	9.423	32.7575
2020-09-19T00:29:08.000	17.7058	4.29866	9.421	32.7569
2020-09-19T00:29:18.000	17.7057	4.29867	9.398	32.7571
2020-09-19T00:29:28.000	17.7065	4.29866	9.395	32.7564
2020-09-19T00:29:38.000	17.7069	4.29872	9.44	32.7566
2020-09-19T00:29:48.000	17.7065	4.29867	9.405	32.7565
2020-09-19T00:29:58.000	17.7072	4.29872	9.409	32.7564
2020-09-19T00:30:08.000	17.7071	4.29876	9.433	32.7568
2020-09-19T00:30:18.000	17.7035	4.29828	9.403	32.7556
2020-09-19T00:30:28.000	17.705	4.29856	9.395	32.7568
2020-09-19T00:30:38.000	17.7058	4.29854	9.416	32.7559
2020-09-19T00:30:48.000	17.702	4.29817	9.413	32.7559
2020-09-19T00:30:58.000	17.7032	4.29843	9.387	32.7571
2020-09-19T00:31:08.000	17.7045	4.29839	9.378	32.7558
2020-09-19T00:31:18.000	17.7031	4.29821	9.406	32.7554
2020-09-19T00:31:28.000	17.7016	4.29849	9.411	32.7589
2020-09-19T00:31:38.000	17.6995	4.29771	9.39	32.754
2020-09-19T00:31:48.000	17.6994	4.29785	9.395	32.7553
2020-09-19T00:31:58.000	17.6986	4.29783	9.389	32.7558
2020-09-19T00:32:08.000	17.6964	4.29737	9.394	32.7536
2020-09-19T00:32:18.000	17.6926	4.29709	9.389	32.7542
2020-09-19T00:32:28.000	17.6955	4.29733	9.378	32.754
2020-09-19T00:32:38.000	17.6981	4.29757	9.416	32.7539
2020-09-19T00:32:48.000	17.6982	4.29768	9.4	32.7548
2020-09-19T00:32:58.000	17.6981	4.29762	9.378	32.7543
2020-09-19T00:33:08.000	17.6989	4.29783	9.38	32.7555
2020-09-19T00:33:18.000	17.6974	4.29762	9.385	32.7549
2020-09-19T00:33:28.000	17.6983	4.29762	9.389	32.7542
2020-09-19T00:33:38.000	17.6982	4.2977	9.365	32.7549
2020-09-19T00:33:48.000	17.6989	4.29769	9.379	32.7543
2020-09-19T00:33:58.000	17.6989	4.29774	9.397	32.7547
2020-09-19T00:34:08.000	17.6987	4.29774	9.367	32.7549
2020-09-19T00:34:18.000	17.6986	4.29779	9.406	32.7554
2020-09-19T00:34:28.000	17.6967	4.29757	9.38	32.7551
2020-09-19T00:34:38.000	17.6974	4.29763	9.389	32.755
2020-09-19T00:34:48.000	17.6969	4.29765	9.39	32.7556
2020-09-19T00:34:58.000	17.6966	4.29762	9.374	32.7556
2020-09-19T00:35:08.000	17.6975	4.29765	9.386	32.755
2020-09-19T00:35:18.000	17.6974	4.29766	9.39	32.7553
2020-09-19T00:35:28.000	17.6974	4.29763	9.377	32.755
2020-09-19T00:35:38.000	17.6966	4.29752	9.38	32.7547
2020-09-19T00:35:48.000	17.6968	4.29762	9.354	32.7554
2020-09-19T00:35:58.000	17.6935	4.29732	9.38	32.7555
2020-09-19T00:36:08.000	17.6955	4.29759	9.353	32.7562
2020-09-19T00:36:18.000	17.6929	4.29728	9.383	32.7556
2020-09-19T00:36:28.000	17.6914	4.29731	9.367	32.7571
2020-09-19T00:36:38.000	17.686	4.29673	9.363	32.7564
2020-09-19T00:36:48.000	17.6902	4.29688	9.378	32.7545
2020-09-19T00:36:58.000	17.6895	4.29684	9.365	32.7546
2020-09-19T00:37:08.000	17.6913	4.29681	9.364	32.7529
2020-09-19T00:37:18.000	17.6929	4.29704	9.374	32.7536
2020-09-19T00:37:28.000	17.691	4.29715	9.372	32.756
2020-09-19T00:37:38.000	17.6891	4.29688	9.375	32.7553
2020-09-19T00:37:48.000	17.6836	4.29619	9.362	32.7538
2020-09-19T00:37:58.000	17.6846	4.29635	9.362	32.7544
2020-09-19T00:38:08.000	17.6857	4.29634	9.36	32.7534
2020-09-19T00:38:18.000	17.6863	4.2964	9.364	32.7535
2020-09-19T00:38:28.000	17.6863	4.29636	9.353	32.7531
2020-09-19T00:38:38.000	17.687	4.29648	9.364	32.7536
2020-09-19T00:38:48.000	17.6876	4.29651	9.35	32.7534
2020-09-19T00:38:58.000	17.6859	4.29635	9.356	32.7534
2020-09-19T00:39:08.000	17.6849	4.29619	9.37	32.7528
2020-09-19T00:39:18.000	17.6848	4.29622	9.352	32.7532
2020-09-19T00:39:28.000	17.6864	4.2964	9.368	32.7533
2020-09-19T00:39:38.000	17.6871	4.29654	9.352	32.754
2020-09-19T00:39:48.000	17.6843	4.29612	9.339	32.7527
2020-09-19T00:39:58.000	17.6847	4.29611	9.343	32.7522
2020-09-19T00:40:08.000	17.6867	4.2964	9.373	32.7531
2020-09-19T00:40:18.000	17.6823	4.29586	9.337	32.752
2020-09-19T00:40:28.000	17.6837	4.29614	9.358	32.7533
2020-09-19T00:40:38.000	17.6846	4.29617	9.362	32.7528
2020-09-19T00:40:48.000	17.6823	4.29575	9.354	32.7511
2020-09-19T00:40:58.000	17.684	4.29594	9.36	32.7514
2020-09-19T00:41:08.000	17.6847	4.29604	9.351	32.7517
2020-09-19T00:41:18.000	17.6843	4.29604	9.365	32.752
2020-09-19T00:41:28.000	17.6845	4.29606	9.348	32.752
2020-09-19T00:41:38.000	17.6844	4.29587	9.324	32.7505
2020-09-19T00:41:48.000	17.6838	4.29591	9.355	32.7513
2020-09-19T00:41:58.000	17.6844	4.29587	9.347	32.7505
2020-09-19T00:42:08.000	17.6845	4.29594	9.34	32.751
2020-09-19T00:42:18.000	17.6845	4.29592	9.333	32.7508
2020-09-19T00:42:28.000	17.684	4.29595	9.334	32.7515
2020-09-19T00:42:38.000	17.6841	4.29588	9.339	32.7508
2020-09-19T00:42:48.000	17.6847	4.296	9.343	32.7513
2020-09-19T00:42:58.000	17.6853	4.29599	9.357	32.7508
2020-09-19T00:43:08.000	17.685	4.29599	9.335	32.751
2020-09-19T00:43:18.000	17.6853	4.29604	9.328	32.7512
2020-09-19T00:43:28.000	17.6856	4.2961	9.341	32.7515
2020-09-19T00:43:38.000	17.6857	4.296	9.319	32.7506
2020-09-19T00:43:48.000	17.6854	4.29603	9.353	32.751
2020-09-19T00:43:58.000	17.6858	4.29608	9.308	32.7511
2020-09-19T00:44:08.000	17.6859	4.29603	9.32	32.7506
2020-09-19T00:44:18.000	17.6861	4.29606	9.339	32.7507
2020-09-19T00:44:28.000	17.6867	4.29612	9.325	32.7508
2020-09-19T00:44:38.000	17.6863	4.29611	9.31	32.751
2020-09-19T00:44:48.000	17.6843	4.29577	9.346	32.7497
2020-09-19T00:44:58.000	17.6848	4.29592	9.312	32.7506
2020-09-19T00:45:08.000	17.6852	4.29601	9.306	32.751
2020-09-19T00:45:18.000	17.6837	4.29596	9.344	32.7518
2020-09-19T00:45:28.000	17.6828	4.29581	9.317	32.7513
2020-09-19T00:45:38.000	17.6814	4.29558	9.321	32.7504
2020-09-19T00:45:48.000	17.6821	4.29541	9.332	32.7484
2020-09-19T00:45:58.000	17.6813	4.29557	9.321	32.7504
2020-09-19T00:46:08.000	17.6828	4.29572	9.311	32.7505
2020-09-19T00:46:18.000	17.6833	4.29568	9.309	32.7497
2020-09-19T00:46:28.000	17.6833	4.29564	9.32	32.7494
2020-09-19T00:46:38.000	17.6813	4.2955	9.311	32.7499
2020-09-19T00:46:48.000	17.6819	4.29551	9.349	32.7494
2020-09-19T00:46:58.000	17.6812	4.29548	9.288	32.7498
2020-09-19T00:47:08.000	17.6816	4.29543	9.31	32.749
2020-09-19T00:47:18.000	17.6783	4.29513	9.292	32.7491
2020-09-19T00:47:28.000	17.6788	4.29502	9.341	32.7478
2020-09-19T00:47:38.000	17.6783	4.2951	9.302	32.7489
2020-09-19T00:47:48.000	17.6775	4.29495	9.305	32.7483
2020-09-19T00:47:58.000	17.6772	4.29497	9.288	32.7486
2020-09-19T00:48:08.000	17.679	4.29509	9.316	32.7482
